Gene Symbol,protein,FDR,FC
YWHAH,YWHAH,0.5219006980500127,0.0846198690528297
CAPZA1,CAPZA1,0.3770122296805657,0.08464273522467636
ANGPTL4,ANGPTL4,0.7667144463362833,0.08511686279167208
ANPEP,ANPEP,0.6505846502968485,0.0874261717642213
RAC1,RAC1,0.6713834394073563,0.08822454847512518
DPYS,DPYS,0.6757214233500062,0.08972369135223701
CALM3,CALM3,0.6891336650660342,0.0904935325471321
P4HB,P4HB,0.7085054179604297,0.09080507820874928
VASP,VASP,0.6492506616945838,0.09271941966510155
C7,C7,0.5666713839907056,0.0930391158341628
RAP1B,RAP1B,0.7149567019966074,0.0983170536211162
CDH13,CDH13,0.8050237615273113,0.10079516990307269
C8A,C8A,0.4472785205507864,0.10092283544142333
ATP6V1A,ATP6V1A,0.6784206216867865,0.10121861759261463
AXL,AXL,0.5659912964594591,0.10368309856073665
YWHAE,YWHAE,0.6159772118080048,0.10371872314932062
CFL1,CFL1,0.4067549520504394,0.10425529447140391
OAF,OAF,0.5220044876173433,0.10441353734034209
CCT3,CCT3,0.6796517220148838,0.10454091446641556
IPO5,IPO5,0.840836618619221,0.10841438716444785
AKR1B1,AKR1B1,0.8748539843778909,0.11019419529929664
HSPB6,HSPB6,0.4494415970167973,0.11216068576446503
BASP1,BASP1,0.7834842576048051,0.11675417149889711
FAP,FAP,0.31249053763190726,0.11736752279477969
GDI2,GDI2,0.615852895913604,0.11854853330544657
AP2A2,AP2A2,0.840836618619221,0.1205353115524197
PSMA8,PSMA8,0.811801283637933,0.12152186047825353
THBS4,THBS4,0.5717579701417715,0.12230490717869458
PGRMC1,PGRMC1,0.6891336650660342,0.12576970575927504
ALCAM,ALCAM,0.7151328462788136,0.12798776303688442
HLA-C,HLA-C,0.4343838637763536,0.13029970474778096
TPT1,TPT1,0.6697525014755796,0.13119852099124074
RPL11,RPL11,0.7384780824841877,0.13175182854450185
SEPTIN6,SEPTIN6,0.5859842589288942,0.13439665553200442
TUBB4B,TUBB4B,0.6757214233500062,0.13559749042807923
ARPC1B,ARPC1B,0.4178745024093797,0.13969472318800413
YWHAZ,YWHAZ,0.7151328462788136,0.13997816085816694
PLA2G7,PLA2G7,0.6496492581514931,0.14057397216668477
RPL13,RPL13,0.16830667734447202,0.14276403432008422
DSTN,DSTN,0.2570456113533072,0.14481800948406232
LIMS1,LIMS1,0.5859842589288942,0.14632846785073994
UGDH,UGDH,0.7999986637182052,0.14836906386371496
PPIA,PPIA,0.47958452920252864,0.1484104257137524
ITGA6,ITGA6,0.6452041222101748,0.14939112410547395
MSN,MSN,0.6541868335791046,0.15037650887584064
STOM,STOM,0.4720410288807439,0.15105440833131922
YWHAB,YWHAB,0.41077521338272277,0.15331001651904685
SERPINI1,SERPINI1,0.5545901879960464,0.1550977011809671
RPS6,RPS6,0.6541257889649836,0.1553001452396856
ACTR2,ACTR2,0.5545901879960464,0.15652159331490623
SERPINE1,SERPINE1,0.6956388434243767,0.15769592021807455
PLEC,PLEC,0.6891336650660342,0.1586892610939863
IQGAP1,IQGAP1,0.4472785205507864,0.16176070542807253
S100A10,S100A10,0.6956388434243767,0.16241558858865446
RPL7,RPL7,0.6697525014755796,0.16271639156025586
AVIL,AVIL,0.47960594167832904,0.16312173922260698
MMP14,MMP14,0.6167705513863587,0.1642001098030228
TUBA4A,TUBA4A,0.3770122296805657,0.16627092099157892
WDR1,WDR1,0.17600014387893748,0.16989516922272685
TAGLN2,TAGLN2,0.1969051584082925,0.17043290408665257
F13A1,F13A1,0.7434272779384895,0.17394896627502376
FNDC1,FNDC1,0.5517248828399636,0.17491301503824985
SEPTIN7,SEPTIN7,0.33811447660353133,0.1763526467513259
MMP2,MMP2,0.6145778686064597,0.17820978716228453
NCAM1,NCAM1,0.3646219692701485,0.179662524985158
ECM1,ECM1,0.04597093893496546,0.18505481184003614
GBE1,GBE1,0.7084424979190508,0.18767665664186595
MME,MME,0.46170167348329555,0.18776803267748932
APOB,APOB,0.7833173160152715,0.1887127455988491
TLN1,TLN1,0.2825015156085924,0.19115936989808446
RARRES1,RARRES1,0.6757214233500062,0.19173903797381087
IGFBP3,IGFBP3,0.5133177183255917,0.19183373178122665
ITIH3,ITIH3,0.3770122296805657,0.19757399386192276
EHD1,EHD1,0.4905941181754357,0.19983858158993328
ACTN1,ACTN1,0.3392984354814762,0.20098572069010245
ITGA2,ITGA2,0.4474309693475233,0.20122859166266593
CDC37,CDC37,0.6757214233500062,0.2025282099545933
PFKP,PFKP,0.7637396647542904,0.20503999121220318
CORO1C,CORO1C,0.2570456113533072,0.2051566020333766
PON3,PON3,0.32896103651672787,0.2055766614907526
APOA1,APOA1,0.16163052399174138,0.20643251572324317
C5,C5,0.47271169447911354,0.20703251043761384
PTPRZ1,PTPRZ1,0.1969051584082925,0.20760117317513505
PTX3,PTX3,0.3815350018233879,0.21006251191329994
ARPC2,ARPC2,0.48693499251344347,0.21080582070053921
SEPTIN2,SEPTIN2,0.21796774371259206,0.21934969323639564
FBLN2,FBLN2,0.15104616275335236,0.21951078665493995
RASA3,RASA3,0.7370878554121968,0.22281791411163354
MYL9,MYL9,0.44098394529540424,0.2249781859935318
PXDN,PXDN,0.08416731867077247,0.22498784402739957
LAMB2,LAMB2,0.2965336057050986,0.22568292595882866
CHID1,CHID1,0.6159772118080048,0.22712884065527916
TUBB1,TUBB1,0.6073891918500647,0.229395787210958
C8B,C8B,0.24529480700815623,0.22969502917048246
ALDOA,ALDOA,0.04597093893496546,0.23348498694570452
YWHAG,YWHAG,0.45673227186263565,0.23404865754355342
PSMD6,PSMD6,0.6111547205239591,0.23448401552717257
PI16,PI16,0.5219006980500127,0.2372176784841855
CP,CP,0.31420582016550136,0.2398546332188296
C8G,C8G,0.6148579574058632,0.24005580655190784
PACSIN1,PACSIN1,0.5706019612400454,0.24615638944911922
EHD3,EHD3,0.42303546617658067,0.24817791725929084
VIM,VIM,0.26529755638562363,0.24833031848721987
RAB14,RAB14,0.5666713839907056,0.2529570836872672
PARK7,PARK7,0.6541868335791046,0.25306070119343715
VCL,VCL,0.2641687312948688,0.2574052195903782
PROC,PROC,0.17600014387893748,0.2581843417807619
CD59,CD59,0.26130428429223646,0.2593124419409456
COL6A2,COL6A2,0.308736482451595,0.2595844579303268
RPL24,RPL24,0.5219006980500127,0.2600167651327361
PRNP,PRNP,0.2586851781491147,0.26072011876456713
variant.PKM,variant.PKM,0.24529480700815623,0.26825878634769396
TGM2,TGM2,0.5209287681375732,0.2733392136524735
LCP1,LCP1,0.4404460232666041,0.2739061027975964
CORO1B,CORO1B,0.15881486944164683,0.27462525906112134
RNH1,RNH1,0.354989758620562,0.27844129838466714
CD151,CD151,0.046865372811887546,0.2827730978359
IDH1,IDH1,0.20196709992508424,0.28294285286635557
CORO1A,CORO1A,0.39028827205137945,0.28581996617733196
PFN1,PFN1,0.16576756150121394,0.28832164299338814
SVEP1,SVEP1,0.15104616275335236,0.28951522907033933
AKR1C1,AKR1C1,0.13830248341821433,0.2927218104750722
FERMT3,FERMT3,0.45673227186263565,0.29348447732494165
CALU,CALU,0.24529480700815623,0.2951315493155455
C6,C6,0.2623587647796461,0.29850369070619465
S100A4,S100A4,0.25882111853745243,0.2987645298566868
GPX3,GPX3,0.41077521338272277,0.29961386224477593
UBE2O,UBE2O,0.35950252959137724,0.30016657372679845
CAVIN1,CAVIN1,0.23499801551081556,0.30079568720331196
MIA3,MIA3,0.8456895289621522,0.3009023377392097
C3,C3,0.1969051584082925,0.30161417810861835
APLP2,APLP2,0.2570456113533072,0.30620219370082324
ALDOB,ALDOB,0.3033562596335021,0.30635656934149935
SERPING1,SERPING1,0.26233997030007605,0.30968190550129293
RPL21,RPL21,0.5258160795543985,0.3199819828387973
THBS1,THBS1,0.5666713839907056,0.33050611669142427
TPM1,TPM1,0.6379919354203336,0.33516902736544196
PCYOX1,PCYOX1,0.537983321249688,0.3361036960339696
CFB,CFB,0.11245936287266807,0.3371984635977192
IL1RAP,IL1RAP,0.06030377788172973,0.3437347488057796
SPOCK1,SPOCK1,0.40779030534978694,0.3443769968349528
C4B,C4B,0.2279628933620159,0.3447754932674236
THBS3,THBS3,0.8796318430729477,0.34783228293667534
GDA,GDA,0.5256422012773373,0.3506031063966617
F5,F5,0.1975854185474977,0.3621696146133182
PDGFRB,PDGFRB,0.16410554834012414,0.3678775376149126
ACAN,ACAN,0.2276466144679669,0.3697727388530474
ACTN4,ACTN4,0.3130875874634535,0.3699643502963106
APOD,APOD,0.840836618619221,0.37028541005356885
GSN,GSN,0.20648213668818413,0.37318966128963993
SULF1,SULF1,0.3770122296805657,0.3789510062935477
F2,F2,0.1334186716726789,0.387564135781993
RARRES2,RARRES2,0.4905941181754357,0.39089357787276313
APOE,APOE,0.16830667734447202,0.3930575029184027
TIMP3,TIMP3,0.13269943984802707,0.3959671260933888
DKK3,DKK3,0.05653509630869364,0.3998797014227904
VTN,VTN,0.10946642712694758,0.4013075348428785
MGAM,MGAM,0.37395527748368534,0.4024373635588496
F13B,F13B,0.1969051584082925,0.4051171899979451
VWF,VWF,0.5697985704228843,0.4091502546808883
TIMP2,TIMP2,0.47958452920252864,0.4201951796872372
CTSB,CTSB,0.1862816752467932,0.4440020764429562
CD9,CD9,0.2574439002854859,0.44667258071297056
LTBP2,LTBP2,0.025918734781774432,0.4476333111565367
TNC,TNC,0.08416731867077247,0.4525413547418822
ALDOC,ALDOC,0.16576756150121394,0.45460247361856077
CSRP1,CSRP1,0.15919311112425114,0.46227592169751475
CD109,CD109,0.2613533549951869,0.4652533328153332
JCHAIN,JCHAIN,0.3530099020443404,0.4717465164854424
PLAUR,PLAUR,0.19234175177502752,0.4749103222681512
SERPINE2,SERPINE2,0.2380050248065732,0.487145100502687
F10,F10,0.15241430306176254,0.48736795975502645
GLB1,GLB1,0.2938168606399802,0.4988324840371945
ATP6V1B2,ATP6V1B2,0.3530099020443404,0.507394011162198
STC2,STC2,0.2641687312948688,0.5098979330367257
PLXDC2,PLXDC2,0.20648213668818413,0.5099708806819194
CSF1,CSF1,0.17512112480945682,0.5125842589512608
MAPRE2,MAPRE2,0.2380050248065732,0.5162900479682122
SCG2,SCG2,0.15104616275335236,0.5202113361810952
APOH,APOH,0.030808502386167672,0.5365436831898762
ST13,ST13,0.025956946468138096,0.5447350234601736
KNG1,KNG1,0.12582905523485477,0.5572679142079053
ICAM1,ICAM1,0.537983321249688,0.5673440147572322
MXRA8,MXRA8,0.4720410288807439,0.5847208438716223
GPC4,GPC4,0.537983321249688,0.5995857161801261
CTHRC1,CTHRC1,0.07641620497204524,0.6296687356561392
TNXB,TNXB,0.032874095632476216,0.6325989794365796
SFRP1,SFRP1,0.2570456113533072,0.6420788548326293
NEXN,NEXN,0.3562859720120569,0.6443901541106598
MYH10,MYH10,0.21111219537996348,0.664538372739635
VAT1,VAT1,0.07506655527915598,0.6724357970322039
PEBP1,PEBP1,0.6917767163427776,0.6799153049759354
NAPA,NAPA,0.12847205835055533,0.685417127379619
ITGBL1,ITGBL1,0.07880412827012524,0.6871933180049972
RASA1,RASA1,0.2716505868766278,0.7083619164896646
PODN,PODN,0.3130875874634535,0.7194648222689892
TPM4,TPM4,0.24876791146705476,0.7321258578887537
ABI3BP,ABI3BP,0.030072277458177973,0.7693376014799647
IGF2,IGF2,0.17894085769188245,0.7850054909958715
LAMA1,LAMA1,0.05653509630869364,0.8036694776489597
HEXB,HEXB,0.2502641395444516,0.8114267147065455
WARS1,WARS1,0.13830248341821433,0.8150503172560946
CTSF,CTSF,0.03555191293788333,0.8215713257066639
IGHA1,IGHA1,0.6211166682016686,0.8284126330805677
PSAP,PSAP,0.11245936287266807,0.8426678363835975
TPP1,TPP1,0.14506949966186308,0.9209104851534065
DKK1,DKK1,0.05653509630869364,0.9261801307057418
THY1,THY1,0.1648989898277459,0.9329199810602695
F11,F11,0.537983321249688,0.9402886902009513
TTR,TTR,0.4404460232666041,1.0981343503709269
DCN,DCN,0.046865372811887546,1.1903951310641219
THBS2,THBS2,0.17023143881639013,1.2086787694242105
CTSL,CTSL,0.025918734781774432,1.212838969513868
CTSA,CTSA,0.09210599109692058,1.3793162189156156
IGFBP6,IGFBP6,0.34128859013682616,1.3862287939495346
YBX1,YBX1,0.4409313315261745,1.406714378966143
CTSK,CTSK,0.025918734781774432,1.9922265285145073
