miRNA,Target / Target pathway,Support,Source,Experiment(s),Reference - PMID,,
hsa-miR-122-5p,WDR55,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,YTHDF2,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,ZDHHC7,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,FBN2,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,FOXO3,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,GALNT1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,GEMIN5,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,GJA3,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,GRAMD1B,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,GRHL2,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,IGF1R,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,IHH,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,IVNS1ABP,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,KAT6B,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,AP3M1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,ASAP1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,ATXN7L1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,BSN,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,TMEM251,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,KCNQ2,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,CDK12,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,CDK5R1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,CDKN1A,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,CSPG5,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,KDM2A,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,DENND1B,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,DMTF1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,EPHA7,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,LEMD3,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,LHX1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,LHX9,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,MADD,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,MYCBP2,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,NCOA5,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,NIPSNAP1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,OTOF,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,PHF21A,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,PHKG2,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,PRDM4,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,PRICKLE2,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,PRKCG,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,QRICH1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,RAB11FIP5,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,RAD23B,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,RBM25,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,RCOR3,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,RGMA,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,RNF111,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,SHROOM4,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,SIM1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,SPAG9,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,SRF,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,SYNRG,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,TET3,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,TRAF7,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,USP37,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,VPS13D,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,WSB1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,YEATS2,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,ZDHHC13,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,DR1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,EN2,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,FKBP5,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,GABRG2,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,GALNTL6,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,GAPVD1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,GPATCH8,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,GRAMD2B,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,GRIN3A,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,HEXA,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,HHIP,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,INTS4,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,JMJD1C,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,KCNK5,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,MCMBP,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,MECOM,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,METTL9,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,MKL2,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,MXD1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,NDST1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,OTOGL,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,PAPPA,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,PLCB1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,PLEKHH1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,POLR3B,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,POU2F1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,PPM1E,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,PSMD11,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,RFX3,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,RFX4,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,RRAGC,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,SHPRH,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,SIPA1L2,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,SLC1A1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,SLC6A4,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,SNX13,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,SOBP,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,SP1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,SPRED1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,SSPN,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,SUCLA2,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,TJP1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,TMEM65,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,ZBTB4,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,ACTR2,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,ZBTB40,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,ZNF385B,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,ZNF609,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,ADNP2,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,ALS2,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,ARHGAP33,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,ARID4B,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,ATXN1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,B3GALT1,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,CADM2,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,CDK16,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,CRIPT,V,miRcode,N/A,N/A,,
hsa-miR-122-5p,PUM2,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,ATRX,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,YWHAZ,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,PPP2R5C,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,AKAP11,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,DDX3X,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,YME1L1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,SERBP1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,CUL5,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,ACTR3,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,ZDHHC17,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,MBNL1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,G3BP2,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,CANX,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,RYBP,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,RAD21,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,LUC7L3,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,ARFGEF1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,DHX15,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,PAPOLA,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,RNF38,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,DICER1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,IQGAP1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,COPS2,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,PAFAH1B1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,CLCN3,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,MEX3C,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,BMI1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,RIOK3,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,FZD6,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,CAPZA1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,CEP350,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,NR3C1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,NONO,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,MOB4,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,MAPRE1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,UBE2G1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,WSB1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,HSPD1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,SEP7,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,EIF4E,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,GMFB,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,KCNN3,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,DYRK1A,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,CHSY1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,NOTCH2,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,DR1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,CMPK1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,SCAF11,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,HLTF,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,NAB1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,SERP1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,GALNT1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,SSR1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,SLC9A6,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,KHDRBS1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,USP9X,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,THUMPD1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,RBM12,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,WDR26,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,ADSS,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,SNX13,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,TACC1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,TMEM47,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,PHTF2,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,AKT3,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,CYBRD1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,SUCLA2,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,CDK17,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,UBE2V1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,RSBN1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,LIN7C,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,PTBP3,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,TUG1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,HIPK1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,RCOR1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,CD59,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,SLC4A3,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,ARGLU1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,RALGAPB,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,LAMC1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,CLTC,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,PLCB1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,PCDH9,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,NCKIPSD,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,STK38L,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,PAK2,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,SMURF2,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,HBP1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,FOXJ3,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,HNRNPU,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,SLC5A3,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,CAV2,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,REEP1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,SPTBN1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,LPP,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,ANKRD46,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,WDR47,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,ZNF507,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,FOXO3,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,MON2,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,UBE2H,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,HDGFL3,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,MFF,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,KDM2A,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,CHMP3,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,CEP55,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,MAP2K4,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,CCDC6,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,GRB10,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,SLC7A1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,EIF1AX,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,STK39,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,TMEM168,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,BLCAP,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,LARP4,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,ANK2,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,SEL1L,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,ASPH,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,USP15,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,ZKSCAN1,V,CoMeTa,N/A,N/A,,
hsa-miR-122-5p,NOL4L,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,LCOR,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,DDX6,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,DR1,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,GALNT1,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,GPM6B,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,HECTD1,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,MAP3K12,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,MARK1,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,MECOM,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,MED1,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,NPEPPS,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,PAPOLA,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,RAB30,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,SPRY2,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,TCF4,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,ZBTB4,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,CTDSPL,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,MAP1B,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,NFAT5,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,CS,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,DYRK1A,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,DICER1,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,DTNA,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,ZBTB41,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,ESR1,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,BCL2L2,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,KDM2A,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,TMEM87A,V,Cupid,N/A,N/A,,
hsa-miR-122-5p,MYB,V,DIANA,N/A,N/A,,
hsa-miR-122-5p,NPEPPS,V,DIANA,N/A,N/A,,
hsa-miR-122-5p,MUC17,V,DIANA,N/A,N/A,,
hsa-miR-122-5p,ORAI2,V,ElMMo3,N/A,N/A,,
hsa-miR-122-5p,PRR11,V,ElMMo3,N/A,N/A,,
hsa-miR-122-5p,BCL2L2,V,GenMir++,N/A,N/A,,
hsa-miR-122-5p,HNRNPU,V,GenMir++,N/A,N/A,,
hsa-miR-122-5p,IQGAP1,V,GenMir++,N/A,N/A,,
hsa-miR-122-5p,SLC2A3,V,GenMir++,N/A,N/A,,
hsa-miR-122-5p,SRF,V,GenMir++,N/A,N/A,,
hsa-miR-122-5p,DR1,V,GenMir++,N/A,N/A,,
hsa-miR-122-5p,SMARCD1,V,GenMir++,N/A,N/A,,
hsa-miR-122-5p,NPEPPS,V,GenMir++,N/A,N/A,,
hsa-miR-122-5p,CCDC6,V,GenMir++,N/A,N/A,,
hsa-miR-122-5p,MAP3K3,V,GenMir++,N/A,N/A,,
hsa-miR-122-5p,MAPRE1,V,GenMir++,N/A,N/A,,
hsa-miR-122-5p,SLC1A5,V,GenMir++,N/A,N/A,,
hsa-miR-122-5p,XIAP,V,GenMir++,N/A,N/A,,
hsa-miR-122-5p,PAPOLA,V,GenMir++,N/A,N/A,,
hsa-miR-122-5p,BRPF1,V,GenMir++,N/A,N/A,,
hsa-miR-122-5p,DHX15,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,NEURL4,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,SEP7,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,SYNCRIP,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,TRAPPC3,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,CPEB1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,HNRNPU,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,NPEPPS,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,PAK3,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,TMEM87A,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,LRP10,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,PAPOLA,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,SLC1A5,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,TBC1D10B,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,CTDSPL,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,MEIS2,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,SCN3B,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,SLC35A4,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,ABR,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,FAM155B,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,TMEM47,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,TNRC6A,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,TSC22D3,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,WARS,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,WDR47,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,ZDHHC7,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,ZBTB4,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,ADAM10,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,BACH2,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,BCL2L2,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,BHLHE41,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,XIAP,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,BRPF1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,FAM219A,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,CCDC6,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,CS,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,DICER1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,DLG2,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,DR1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,AGO1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,CCNYL1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,FOXP2,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,G3BP2,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,GIT1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,GPR3,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,HDAC4,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,IQGAP1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,KCNN3,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,KHDRBS1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,LAMC1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,LUZP1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,MAP3K3,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,MAPRE1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,MARK1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,MASP1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,MBNL1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,MECP2,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,MINK1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,MIPOL1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,NFAT5,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,NTRK2,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,PURB,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,RAD21,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,PTBP3,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,SENP1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,SERP1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,SLC2A14,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,SLC2A3,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,SLC4A3,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,SLC7A1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,SLC9A6,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,SMARCD1,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,SNX13,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,SRF,V,MAMI,N/A,N/A,,
hsa-miR-122-5p,ATXN1,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,ZNF148,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,SEC62,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,ARPP19,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,CCDC6,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,NFAT5,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,TRIM2,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,LIN7C,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,STK17A,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,ERBB4,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,SNTB2,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,FOXN3,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,RC3H1,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,ESR1,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,AFF3,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,TMEM47,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,ASTN1,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,BRWD1,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,IGF1,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,CREB5,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,FOXP1,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,RAB22A,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,SMG1,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,AP1G1,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,TEAD1,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,ACVR2B,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,ZNF280B,V,MultiMiTar,N/A,N/A,,
hsa-miR-122-5p,HELZ,V,MultiMiTar,N/A,N/A,,
